用户名,用户城市,评论内容,点赞数,评论时间,情感得分
乔浚丞,北京,谢谢宁哥选择我的作品！ 能跟宁哥一起玩摇滚是我的荣幸呀！ 听说明天北京站会…耶！！！,863,2025-11-14 20:31:10,0.9677102322956617
rika网易云,上海,我把宁的名字念一万遍，整颗心全部都是宁啊，哦全部都是宁啊～,156,2025-11-14 21:23:58,0.9650606489742196
凡尔赛宫专业游戏配乐,四川,刘宇宁的歌声里有少年的热血，也有成年人的沉稳，这种矛盾又和谐的特质，让他的歌声更有层次。,116,2025-11-14 21:45:21,0.999999871549928
宇宙人虫姬,上海,"今天把公司的WiFi名改成了""刘宇宁帅不帅呀"" 密码改成了""yesyesyes"" 结果整栋办公楼都连上了",93,2025-11-14 21:45:30,0.03261898260022755
LYN-桃儿,广东,期待明天的演唱会听到这首！,46,2025-11-14 21:20:20,0.45662870354765095
Lyn遇晴,广东,把你的名字念一万遍，刘宇宁,30,2025-11-14 23:09:54,0.9935833479804245
宇宙人虫姬,上海,刘宇宁真是冷战思维，又苏又美！！！,30,2025-11-14 21:45:21,0.9974296147337316
来杯蜂蜜抽子,河北,北京站会唱这首吗[多多可怜],21,2025-11-14 21:03:29,0.9345821564853583
云村村民16894444239596,四川,摇滚是刘宇宁的统治区,20,2025-11-14 23:06:57,0.9716691735633
lchenchenchennn,辽宁,刘宇宁  为你千千万万遍！,20,2025-11-14 21:24:19,0.9763616872823623
宁如星辰呗如月,马来西亚,你用努力诠释热爱，用音乐证明实力，这就是值得追随的偶像。,18,2025-11-15 01:55:59,0.9999672880762874
剪碎的时光,上海,这样炽热的嗓音这样坦率的真心…真要命啊刘宇宁。就这样肆意的鲜活的热烈又纯粹的…被狠狠击中。哪怕下次再见遥遥无期，哪怕明知道留不住，却依旧在心里念了千千万万遍依旧割不掉舍不下的那个名字啊。会执着，但不会后悔的吧。因为单是想到自己正如此毫无保留地热烈地爱着他，都会觉得不枉此生。,18,2025-11-14 22:31:39,0.9982726803400422
山川森林绿杏仁球,辽宁,这不是表演，是一次灵魂的献祭。刘宇宁用嗓音为祭品，在聚光灯下点燃篝火，让所有暗夜里的徘徊者，都看见了自己的倒影。,12,2025-11-14 23:01:00,0.995697985568584
LYN杜杜,四川,喜欢你❤️这种事情，捂住嘴巴也会从眼睛溢出来。,10,2025-11-15 11:58:14,0.7083106669232071
柠檬小宇宙,河南,刘宇宁，希望你越来越好,0,2025-11-23 09:55:09,0.9155594560125481
MD-shark,陕西,好好听,0,2025-11-23 09:44:24,0.46175896454978704
寧光常伴,广东,每天念你的名字一萬遍,0,2025-11-23 09:01:58,0.8735195344471396
08红,安徽,把你名字念一万遍,0,2025-11-23 09:01:43,0.9759884100926121
樱椿yuzu,山东,刘宇宁，如果幸福可以用语言叙述，那它就是你唱的每个音符。,0,2025-11-23 08:34:54,0.9979109049406958
韵宁610,河北,好听好听好听,0,2025-11-23 07:28:33,0.09199658582952375
韵宁610,河北,刘宇宁,0,2025-11-23 07:28:21,0.8088468949888833
韵宁610,河北,刘宇宁刘宇宁刘宇宁刘宇宁刘宇宁刘宇宁刘宇宁刘宇宁,0,2025-11-23 07:27:46,0.9999797044088758
韵宁610,河北,刘宇宁,0,2025-11-23 07:27:23,0.8088468949888833
韵宁610,河北,刘宇宁,0,2025-11-23 07:26:44,0.8088468949888833
韵宁610,河北,刘宇宁最棒,0,2025-11-23 07:25:32,0.9886030614985103
韵宁610,河北,好听,0,2025-11-23 07:24:40,0.33333333333333337
韵宁610,河北,念一万遍都不够,0,2025-11-23 07:24:18,0.978114734050987
韵宁610,河北,刘宇宁早上好,0,2025-11-23 07:23:40,0.8701335545385309
韵宁610,河北,好听,0,2025-11-23 07:23:04,0.33333333333333337
H-oney-,黑龙江,低音太爱了,0,2025-11-23 07:12:58,0.6274159360698904
止期-_-,贵州,整颗心全部都是宁啊,0,2025-11-23 00:50:11,0.4046320903105526
阿黎要早睡Zzz,湖南,全部都是你啊啊啊啊啊啊,0,2025-11-23 00:22:11,0.9603161789037712
向日葵向太阳lh,黑龙江,我妈妈特别喜欢这首歌，我还在学呢。,0,2025-11-22 23:27:01,0.9863613168069358
LYN宁好啊,湖北,好听都爆炸啊！,0,2025-11-22 23:06:57,0.33233623839232085
LYN宁好啊,湖北,我每天循环播放,0,2025-11-22 23:06:43,0.16972200323174058
LYN宁好啊,湖北,刘宇宁用超赞的歌声和舞台证明实力,0,2025-11-22 23:06:30,0.9950014326193731
LYN宁好啊,湖北,好想去刘宇宁的城市🏙️啊！,0,2025-11-22 23:06:18,0.9047375552203535
LYN宁好啊,湖北,喜欢看你认真的样子，喜欢听你的声音，忍不住想要永远拥有你的微笑~,0,2025-11-22 23:05:48,0.9970900547322837
LYN宁好啊,湖北,偶像刘宇宁我好喜欢你啊！,0,2025-11-22 23:05:40,0.9919524826393474
